company_name,group,bord_bia_verified,esg_keyword_count,talk_score,walk_score,walk_positive,walk_negative,walk_score_norm,gap_score,risk_level
The Happy Pear,Not Verified,False,5,8.33,4.3,0.0726,0.2116,0.0,1.0,🔴 HIGH RISK
Keelings,Verified,True,2,3.33,4.38,0.0753,0.1998,0.29,0.913,🔴 HIGH RISK
Builin Blasta,Verified,True,1,1.67,4.54,0.1229,0.214,0.87,0.479,🔴 HIGH RISK
Cloud Picker Coffee,Not Verified,False,4,6.67,5.4,0.1049,0.0254,3.99,0.402,🔴 HIGH RISK
Carbery,Verified,True,6,10.0,6.21,0.2802,0.0384,6.92,0.308,🟡 MEDIUM RISK
Flahavan's,Verified,True,2,3.33,4.99,0.0672,0.069,2.5,0.249,🟡 MEDIUM RISK
GIY Ireland,Not Verified,False,3,5.0,5.36,0.1013,0.0286,3.84,0.232,🟡 MEDIUM RISK
Sofrimar,Verified,True,1,1.67,6.35,0.2908,0.0198,7.43,0.0,✅ CREDIBLE
Folláin,Verified,True,0,0.0,5.5,0.1263,0.0269,4.35,0.0,✅ CREDIBLE
Ballycotton Seafood,Not Verified,False,0,0.0,5.88,0.1985,0.022,5.72,0.0,✅ CREDIBLE
Wilde Irish Chocolates,Not Verified,False,0,0.0,5.51,0.1241,0.0222,4.38,0.0,✅ CREDIBLE
Fiid,Not Verified,False,0,0.0,5.92,0.2204,0.0372,5.87,0.0,✅ CREDIBLE
Ballymaloe Foods,Verified,True,1,1.67,5.48,0.1197,0.0229,4.28,0.0,✅ CREDIBLE
Coffeeangel,Not Verified,False,2,3.33,5.48,0.1312,0.0351,4.28,0.0,✅ CREDIBLE
The Naked Collective,Not Verified,False,0,0.0,5.63,0.1485,0.0227,4.82,0.0,✅ CREDIBLE
Cream of the Crop,Not Verified,False,0,0.0,5.35,0.1,0.0296,3.8,0.0,✅ CREDIBLE
Bread 41,Not Verified,False,3,5.0,5.91,0.2095,0.0279,5.83,0.0,✅ CREDIBLE
Regan Organic Produce,Verified,True,0,0.0,5.62,0.1471,0.0227,4.78,0.0,✅ CREDIBLE
Glenilen Farm,Verified,True,0,0.0,7.06,0.4579,0.0461,10.0,0.0,✅ CREDIBLE
Country Crest,Verified,True,0,0.0,5.73,0.26,0.1137,5.18,0.0,✅ CREDIBLE
Glenisk,Verified,True,1,1.67,5.55,0.2014,0.0906,4.53,0.0,✅ CREDIBLE
Durrus Cheese,Verified,True,1,1.67,5.62,0.1468,0.0226,4.78,0.0,✅ CREDIBLE
Killowen Farm,Verified,True,0,0.0,6.18,0.2591,0.0227,6.81,0.0,✅ CREDIBLE
Connemara Organic Seaweeds,Verified,True,0,0.0,5.6,0.1415,0.0212,4.71,0.0,✅ CREDIBLE
Kilbeggan Organic Foods,Verified,True,0,0.0,5.6,0.1421,0.0218,4.71,0.0,✅ CREDIBLE
Clonakilty Food Co,Verified,True,1,1.67,5.17,0.0592,0.0253,3.15,0.0,✅ CREDIBLE
