company_name,group,bord_bia,walk_positive,walk_neutral,walk_negative,walk_score,articles_used
Flahavan's,Verified,True,0.0672,0.8639,0.069,4.99,5
Glenisk,Verified,True,0.2014,0.708,0.0906,5.55,5
Ballymaloe Foods,Verified,True,0.1197,0.8575,0.0229,5.48,5
Keelings,Verified,True,0.0753,0.7249,0.1998,4.38,5
Folláin,Verified,True,0.1263,0.8467,0.0269,5.5,5
Glenilen Farm,Verified,True,0.4579,0.496,0.0461,7.06,5
Killowen Farm,Verified,True,0.2591,0.7182,0.0227,6.18,5
Sofrimar,Verified,True,0.2908,0.6894,0.0198,6.35,5
Regan Organic Produce,Verified,True,0.1471,0.8303,0.0227,5.62,5
Kilbeggan Organic Foods,Verified,True,0.1421,0.8361,0.0218,5.6,5
Connemara Organic Seaweeds,Verified,True,0.1415,0.8373,0.0212,5.6,5
Builin Blasta,Verified,True,0.1229,0.6631,0.214,4.54,5
Durrus Cheese,Verified,True,0.1468,0.8306,0.0226,5.62,5
Clonakilty Food Co,Verified,True,0.0592,0.9155,0.0253,5.17,5
Country Crest,Verified,True,0.26,0.6263,0.1137,5.73,5
Carbery,Verified,True,0.2802,0.6814,0.0384,6.21,5
Bread 41,Not Verified,False,0.2095,0.7625,0.0279,5.91,5
Cloud Picker Coffee,Not Verified,False,0.1049,0.8697,0.0254,5.4,5
Cream of the Crop,Not Verified,False,0.1,0.8704,0.0296,5.35,5
The Naked Collective,Not Verified,False,0.1485,0.8288,0.0227,5.63,5
Coffeeangel,Not Verified,False,0.1312,0.8337,0.0351,5.48,5
The Happy Pear,Not Verified,False,0.0726,0.7159,0.2116,4.3,5
Fiid,Not Verified,False,0.2204,0.7425,0.0372,5.92,5
Wilde Irish Chocolates,Not Verified,False,0.1241,0.8536,0.0222,5.51,5
Ballycotton Seafood,Not Verified,False,0.1985,0.7794,0.022,5.88,5
GIY Ireland,Not Verified,False,0.1013,0.8701,0.0286,5.36,5
