company_name,group,bord_bia_verified,talk_v1,walk_v1,gap_v1,risk_v1,talk_v2,walk_v2,gap_v2,risk_v2,risk_changed,talk_change
The Happy Pear,Not Verified,False,8.33,0.0,1.0,🔴 HIGH RISK,2.94,0.0,1.0,🔴 HIGH RISK,False,-5.39
Keelings,Verified,True,3.33,0.29,0.913,🔴 HIGH RISK,8.24,0.29,0.965,🔴 HIGH RISK,False,4.91
Flahavan's,Verified,True,3.33,2.5,0.249,🟡 MEDIUM RISK,10.0,2.5,0.75,🔴 HIGH RISK,True,6.67
GIY Ireland,Not Verified,False,5.0,3.84,0.232,🟡 MEDIUM RISK,5.88,3.84,0.347,🟡 MEDIUM RISK,False,0.88
Bread 41,Not Verified,False,5.0,5.83,0.0,✅ CREDIBLE,8.24,5.83,0.292,🟡 MEDIUM RISK,True,3.24
Builin Blasta,Verified,True,1.67,0.87,0.479,🔴 HIGH RISK,1.18,0.87,0.263,🟡 MEDIUM RISK,True,-0.49
Carbery,Verified,True,10.0,6.92,0.308,🟡 MEDIUM RISK,8.24,6.92,0.16,🟢 LOW RISK,True,-1.76
Glenisk,Verified,True,1.67,4.53,0.0,✅ CREDIBLE,4.71,4.53,0.038,✅ CREDIBLE,False,3.04
Kilbeggan Organic Foods,Verified,True,0.0,4.71,0.0,✅ CREDIBLE,0.0,4.71,0.0,✅ CREDIBLE,False,0.0
Connemara Organic Seaweeds,Verified,True,0.0,4.71,0.0,✅ CREDIBLE,0.0,4.71,0.0,✅ CREDIBLE,False,0.0
Killowen Farm,Verified,True,0.0,6.81,0.0,✅ CREDIBLE,0.0,6.81,0.0,✅ CREDIBLE,False,0.0
Durrus Cheese,Verified,True,1.67,4.78,0.0,✅ CREDIBLE,1.76,4.78,0.0,✅ CREDIBLE,False,0.09
Country Crest,Verified,True,0.0,5.18,0.0,✅ CREDIBLE,0.0,5.18,0.0,✅ CREDIBLE,False,0.0
Glenilen Farm,Verified,True,0.0,10.0,0.0,✅ CREDIBLE,0.0,10.0,0.0,✅ CREDIBLE,False,0.0
Regan Organic Produce,Verified,True,0.0,4.78,0.0,✅ CREDIBLE,0.0,4.78,0.0,✅ CREDIBLE,False,0.0
Coffeeangel,Not Verified,False,3.33,4.28,0.0,✅ CREDIBLE,2.35,4.28,0.0,✅ CREDIBLE,False,-0.98
Cream of the Crop,Not Verified,False,0.0,3.8,0.0,✅ CREDIBLE,0.0,3.8,0.0,✅ CREDIBLE,False,0.0
The Naked Collective,Not Verified,False,0.0,4.82,0.0,✅ CREDIBLE,0.0,4.82,0.0,✅ CREDIBLE,False,0.0
Ballymaloe Foods,Verified,True,1.67,4.28,0.0,✅ CREDIBLE,3.53,4.28,0.0,✅ CREDIBLE,False,1.86
Fiid,Not Verified,False,0.0,5.87,0.0,✅ CREDIBLE,0.0,5.87,0.0,✅ CREDIBLE,False,0.0
Wilde Irish Chocolates,Not Verified,False,0.0,4.38,0.0,✅ CREDIBLE,1.18,4.38,0.0,✅ CREDIBLE,False,1.18
Ballycotton Seafood,Not Verified,False,0.0,5.72,0.0,✅ CREDIBLE,1.18,5.72,0.0,✅ CREDIBLE,False,1.18
Folláin,Verified,True,0.0,4.35,0.0,✅ CREDIBLE,0.0,4.35,0.0,✅ CREDIBLE,False,0.0
Sofrimar,Verified,True,1.67,7.43,0.0,✅ CREDIBLE,1.76,7.43,0.0,✅ CREDIBLE,False,0.09
Cloud Picker Coffee,Not Verified,False,6.67,3.99,0.402,🔴 HIGH RISK,2.35,3.99,0.0,✅ CREDIBLE,True,-4.32
Clonakilty Food Co,Verified,True,1.67,3.15,0.0,✅ CREDIBLE,1.18,3.15,0.0,✅ CREDIBLE,False,-0.49
