company_name,walk_positive,walk_neutral,walk_negative,walk_score,articles_used
Flahavan's,0.1626,0.7906,0.0468,5.58,10
Glenisk,0.1302,0.7358,0.134,4.98,10
Ballymaloe Foods,0.0982,0.8246,0.0772,5.1,10
Keelings,0.0587,0.7742,0.1671,4.46,10
Folláin,0.2032,0.7726,0.0242,5.89,10
Glenilen Farm,0.2964,0.668,0.0356,6.3,10
Killowen Farm,0.291,0.6873,0.0216,6.35,10
Sofrimar,0.2908,0.6894,0.0198,6.35,5
Regan Organic Produce,0.1017,0.8764,0.0219,5.4,10
Kilbeggan Organic Foods,0.1284,0.8027,0.0689,5.3,10
Connemara Organic Seaweeds,0.1415,0.8373,0.0212,5.6,5
Builin Blasta,0.1051,0.7742,0.1206,4.92,10
Durrus Cheese,0.1312,0.8462,0.0226,5.54,10
Clonakilty Food Co,0.1368,0.8398,0.0233,5.57,10
Country Crest,0.2275,0.684,0.0885,5.7,10
Carbery,0.2565,0.6803,0.0632,5.97,10
Bread 41,0.2215,0.7534,0.0251,5.98,10
Cloud Picker Coffee,0.1146,0.8633,0.0221,5.46,10
Cream of the Crop,0.1379,0.835,0.0272,5.55,10
The Naked Collective,0.1229,0.8487,0.0284,5.47,10
Coffeeangel,0.1081,0.8594,0.0325,5.38,10
The Happy Pear,0.0556,0.7821,0.1622,4.47,10
Fiid,0.1439,0.7439,0.1123,5.16,10
Wilde Irish Chocolates,0.205,0.7722,0.0228,5.91,10
Ballycotton Seafood,0.1528,0.8257,0.0215,5.66,10
GIY Ireland,0.1455,0.8298,0.0248,5.6,10
